dataset,method,f1,auc
MRPC,ROUGE-L,0.7362204724409449,0.755125
MRPC,BERTScore,0.7818181818181819,0.8155249999999999
MRPC,MiniLM,0.7237354085603113,0.7476749999999999
MRPC,sentence-T5,0.7695560253699789,0.8161625
PAWS-Wiki,ROUGE-L,0.7494356659142212,0.80785
PAWS-Wiki,BERTScore,0.6948176583493282,0.7019
PAWS-Wiki,MiniLM,0.6890130353817505,0.637825
PAWS-Wiki,sentence-T5,0.6884615384615385,0.668025
STS12,ROUGE-L,0.6879432624113475,0.68555
STS12,BERTScore,0.6839378238341969,0.636
STS12,MiniLM,0.8375286041189931,0.893775
STS12,sentence-T5,0.8598574821852731,0.927725
SK-Combined,ROUGE-L,0.7255639097744361,0.7138461538461539
SK-Combined,BERTScore,0.7633587786259542,0.7915447154471544
SK-Combined,MiniLM,0.769811320754717,0.7891682301438399
SK-Combined,sentence-T5,0.7835497835497836,0.8272170106316448
SK-Codex,ROUGE-L,0.7916666666666666,0.8576124999999999
SK-Codex,BERTScore,0.8421052631578947,0.9162750000000001
SK-Codex,MiniLM,0.88,0.943475
SK-Codex,sentence-T5,0.8765133171912833,0.943925
SK-FindKG,ROUGE-L,0.7225806451612903,0.7119875
SK-FindKG,BERTScore,0.7494646680942184,0.7611749999999999
SK-FindKG,MiniLM,0.8041666666666667,0.8436
SK-FindKG,sentence-T5,0.8502202643171806,0.9023125000000001
SK-GloBI,ROUGE-L,0.7717842323651453,0.7996375
SK-GloBI,BERTScore,0.8179775280898877,0.8713
SK-GloBI,MiniLM,0.7827868852459017,0.817275
SK-GloBI,sentence-T5,0.7397260273972602,0.7595875
SK-Oregano,ROUGE-L,0.7828054298642534,0.81975
SK-Oregano,BERTScore,0.752851711026616,0.798
SK-Oregano,MiniLM,0.776824034334764,0.8141749999999999
SK-Oregano,sentence-T5,0.8062360801781737,0.870825
Wiki Swap,ROUGE-L,0.7285974499089253,0.3107035175879397
Wiki Swap,BERTScore,0.754863813229572,0.6433793969849246
Wiki Swap,MiniLM,0.8209606986899564,0.8106030150753769
Wiki Swap,sentence-T5,0.827433628318584,0.8058668341708544
