perturbation_type,method,f1,roc_auc,n_samples
node_replacement,AA-KEA,0.9818181818181818,0.9649234693877552,56
node_replacement,ROUGE-1,0.9180327868852459,0.9681122448979591,56
node_replacement,ROUGE-L,0.8813559322033898,0.9170918367346939,56
node_replacement,BLEU,0.8620689655172413,0.9119897959183673,56
node_replacement,BERTScore,0.9333333333333333,0.975765306122449,56
node_replacement,Sentence-T5,0.9655172413793104,0.9540816326530613,56
node_removal,AA-KEA,1.0,1.0,64
node_removal,ROUGE-1,0.9846153846153847,0.9892578125,64
node_removal,ROUGE-L,0.9393939393939394,0.9794921875,64
node_removal,BLEU,0.9846153846153847,0.990234375,64
node_removal,BERTScore,0.9846153846153847,0.9931640625,64
node_removal,Sentence-T5,0.9696969696969697,0.9951171875,64
edge_deletion,AA-KEA,0.9803921568627451,0.9800295857988166,104
edge_deletion,ROUGE-1,0.696969696969697,0.7080251479289941,104
edge_deletion,ROUGE-L,0.6923076923076923,0.6621671597633136,104
edge_deletion,BLEU,0.6865671641791045,0.6723372781065089,104
edge_deletion,BERTScore,0.773109243697479,0.8724112426035503,104
edge_deletion,Sentence-T5,0.7131782945736435,0.7383505917159763,104
edge_replacement,AA-KEA,0.6666666666666666,0.8199896694214877,176
edge_replacement,ROUGE-1,0.6779661016949152,0.6595428719008265,176
edge_replacement,ROUGE-L,0.8,0.8507231404958678,176
edge_replacement,BLEU,0.6923076923076923,0.7213326446280991,176
edge_replacement,BERTScore,0.6666666666666666,0.6202221074380165,176
edge_replacement,Sentence-T5,0.7821229050279329,0.8632489669421488,176
